world,science,uk,us,teesside,tyneside,sunderland,worcester,bedford
"[(""Sorry our ill-disciplined cartel members kidnapped and killed US tourists, say Mexican 'Scorpion' gang leaders"", 0.6469277143478394)]",,"[(""Delivery driver hit by his own van and dragged 'considerable distance' dies"", 0.8482937216758728), ('Delivery driver dragged under van dies', 0.7250741124153137)]","[('Pentagon leaks suspect wins praise from far-right US politicians and media', 0.5111713409423828)]",,"[('Man denies murder of North East grandmother, but admits manslaughter', 0.567733108997345)]",,,
"[('Why violence has erupted in Sudan', 0.6141928434371948), ('Violence spreads in Sudan on third day of fighting', 0.5848930478096008)]",,"[('Why NHS in England appears destined for months of further strikes', 0.5129093527793884)]","[(""Watch: Elon Musk's unexpected BBC interview... in 90 seconds"", 0.7162735462188721)]",,"[('Teenager accused of Tomasz Oleszak murder in Gateshead park admits carrying a knife', 0.7330202460289001), (""Court told 14-year-old with knife went out 'hoping' to stab someone"", 0.6161330938339233), ('Byker thief with 200 offences on his record claimed he was carrying knife for fishing in the River Tyne', 0.5365185737609863)]",,,
"[('Dozens killed during battle in Sudan’s capital', 0.8616081476211548), ('Civilian toll rises in Sudan as military, rivals fight for control', 0.6648569107055664), ('Civilians among 56 killed during heavy fighting in Sudan between army and paramilitary forces', 0.6633027791976929), ('Why violence has erupted in Sudan', 0.6046701669692993), ('Sudan’s army and rival force battle, killing at least 56', 0.5976406335830688), ('Violence spreads in Sudan on third day of fighting', 0.578095555305481), ('Gunfire and jet strikes, Sudan conflict... in 67 seconds', 0.564556360244751), ('Who are the Rapid Support Forces clashing with Sudan’s military?', 0.5210615396499634), ('Airstrikes hit Sudanese capital as paramilitary force clashes with army', 0.5209992527961731)]",,"[('Why NHS in England appears destined for months of further strikes', 0.7159777879714966), ('NHS crisis deepens as nursing union plans ‘mega strike’ in England', 0.6377702355384827), (""Nurses' strike warning and PM's maths promise"", 0.5969023704528809), ('Nurses in England reject pay offer, plan more strikes', 0.5624843835830688), (""'Full and final' pay offer made to nurses, as NHS leader warns escalation of action would 'endanger patient safety'"", 0.5504418611526489)]","[('I interviewed Elon Musk – this is how it went', 0.7162735462188721)]",,"[(""Teenager accused of North East park murder says he took knife, 'for re-assurance'"", 0.7330202460289001), (""Court told 14-year-old with knife went out 'hoping' to stab someone"", 0.6165869832038879)]",,,
"[(""Russia's Wagner releases over 100 Ukrainian prisoners of war for Orthodox Easter"", 0.6236631870269775)]",,"[('Further nursing strikes ‘not sustainable’ for NHS, ministers warned', 0.7159777879714966), ('NHS crisis deepens as nursing union plans ‘mega strike’ in England', 0.6388570070266724), ('Nurses in England reject pay offer, plan more strikes', 0.5317199230194092), (""Nurses' strike warning and PM's maths promise"", 0.5301280617713928), ('Lloyd’s of London offers to insure NHS for unexpected costs such as pandemic', 0.5129093527793884)]",,,"[('Man denies murder of woman at Barnard Castle sheltered housing complex', 0.567733108997345)]",,,
"[('Fire in Dubai apartment building kills 16', 0.8908771872520447), ('Sixteen dead in fire at Dubai apartment building', 0.6982218027114868)]",,"[(""The ultimate guide to the King's coronation: Timings, procession route, and how to watch"", 0.5203380584716797)]",,,"[('Business Supplement: Northern Law Awards 2019', 0.5109648704528809)]",,,
"[(""After 18 years, Europe's largest nuclear reactor starts regular output"", 0.7175344824790955)]",,"[('Why NHS in England appears destined for months of further strikes', 0.6388570070266724), ('Further nursing strikes ‘not sustainable’ for NHS, ministers warned', 0.6377702355384827), (""Nurses' strike could last to Christmas, says union"", 0.5652462244033813), (""'Full and final' pay offer made to nurses, as NHS leader warns escalation of action would 'endanger patient safety'"", 0.5148441195487976), ('Nurses in England reject pay offer, plan more strikes', 0.5034216642379761)]",,,"[('Newcastle United fans issued Metro warning ahead of Manchester United clash', 0.758527398109436)]",,,
"[('Civilians among 56 killed during heavy fighting in Sudan between army and paramilitary forces', 0.6407479047775269), ('Dozens killed as army, rivals battle for control of Sudan', 0.5976406335830688), ('Dozens killed during battle in Sudan’s capital', 0.5336602330207825), (""Sudan's army pounds paramilitary bases with air strikes in power struggle"", 0.5098140239715576)]",,"[('A prisoner swap and Easter in Jerusalem: Friday’s best photos', 0.6381876468658447)]",,,"[('Ticket prices on Tyne and Wear Metro to rise THIS WEEKEND', 0.8703111410140991)]",,,
"[('Germany shuts all of its nuclear plants – and is warned it will regret it', 0.7465210556983948), ('Germany ends nuclear power era, shuts down last of its plants', 0.6687788963317871), ('Germany shuts down its final three nuclear power plants, but govt admits plan has downsides', 0.637642502784729), (""After 18 years, Europe's largest nuclear reactor starts regular output"", 0.5003437995910645)]",,"[('Orthodox Easter and children with guns: the weekend’s best photos', 0.6381876468658447)]",,,"[(""Here's how much Tyne and Wear Metro ticket prices will rise on Saturday"", 0.8703111410140991)]",,,
"[('Loud explosion heard at event attended by Japanese PM', 0.5638259649276733)]",,"[('Horse racing-BHA analysing horse deaths at Grand National, condemns protesters', 0.6008428931236267), ('Racing chiefs condemn protests & look into horse deaths', 0.5766137838363647)]",,,"[('Police release image after man is allegedly raped at popular city centre bar', 0.7743483781814575), (""Police investigating reports of rape in a Newcastle nightclub release image of man they'd like to trace"", 0.6462507247924805)]",,,
"[(""Greek god of love and sex riding a dolphin among artefacts unearthed from ancient city's temple"", 0.5832322835922241)]",,"[('Nurses in England reject pay offer, plan more strikes', 0.5538574457168579), (""Nurses' strike warning and PM's maths promise"", 0.5504902601242065), ('Further nursing strikes ‘not sustainable’ for NHS, ministers warned', 0.5504418611526489), ('NHS crisis deepens as nursing union plans ‘mega strike’ in England', 0.5148441195487976)]",,,,,,
